,State,County,Urban,lapop1,lapop10,LAPOP1_10,POP2010,lalowi1,lalowi10,lakids1,lakids10,laseniors1,laseniors10,lawhite1,lawhite10,lablack1,lablack10,laasian1,laasian10,lahisp1,lahisp10,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractHispanic,la1_ratio,la10_ratio,la_ratio,la_percentage,pop_ratio_poverty,pop_ratio_kid,pop_ratio_senior,pop_ratio_white,pop_ratio_black,pop_ratio_asian,pop_ratio_hisp,la_ratio_poverty,la_ratio_kid,la_ratio_senior,la_ratio_white,la_ratio_black,la_ratio_asian,la_ratio_hisp,PovertyRate,MedianFamilyIncome
1422,Iowa,Jefferson,0,6846.703953,1494.1197156,1494.1197156,6854,2134.8066615,470.06135040000004,1230.1066072999997,370.8765175,883.2555050000001,218.55667544,5697.703939,1462.6459393999999,16.999999937,1.7172631489999999,1050.0000340299998,3.8066133989999997,59.000000420000006,14.998140458,2037,1231,884,5705,17,1050,59,0.9989355052524074,0.21799237169536037,0.21799237169536037,21.79923716953604,0.29719871607820253,0.17960315144441202,0.1289757805660928,0.8323606653049315,0.0024803034724248615,0.15319521447330026,0.008608112051356871,0.31230345052207836,0.1919454466861692,0.13209872600327233,0.8584703577125086,0.0022440545238311786,0.12634323530854363,0.008871802572277676,11.4,62107.5
1423,Iowa,Jefferson,1,1825.2598911,0.0,1825.2598911,9989,571.3260415,0.0,343.1956742,0.0,405.9822441,0.0,1714.9227236000002,0.0,31.60197414,0.0,42.08613202,0.0,28.434104616,0.0,3296,1835,1617,9054,197,375,351,0.18272698879767746,0.0,0.18272698879767746,18.272698879767745,0.3299629592551807,0.18370207227950747,0.1618780658724597,0.9063970367404145,0.019721693863249574,0.037541295424967466,0.03513865251776955,0.31301079056511133,0.18802564822326304,0.22242434958417523,0.9395498865460169,0.017313684639700785,0.02305761071352783,0.0155781128784154,16.0,58611.5
1424,Iowa,Johnson,0,37078.342194,1797.1579776600001,1797.1579776600001,47112,6523.142319199999,366.296584761,9939.256331999999,451.08743069,4079.6686094000006,272.89172785200003,34711.146552,1722.41590197,538.50185164,10.388289096999998,727.5610053400001,12.653387258,1161.13454865,47.90050846,8982,12527,4652,43589,959,975,1769,0.7870254328833418,0.03814650147860418,0.03814650147860418,3.8146501478604184,0.19065206316861946,0.26589828493802004,0.09874341993547292,0.9252207505518764,0.020355748004754627,0.020695364238410598,0.03754881983358804,0.17721801323557912,0.2672722850332482,0.11196152636063036,0.9371856900385258,0.014119178873925785,0.019040639717289396,0.031100180107557288,5.550000000000001,89575.66666666667
1425,Iowa,Johnson,1,14722.078172988,0.0,14722.078172988,83770,3733.6841807839996,0.0,3459.1987435519995,0.0,1344.719419586,0.0,11937.544085623998,0.0,947.2767973499999,0.0,836.4262454089999,0.0,1183.628428047,0.0,31866,13391,6559,68494,5346,5844,4431,0.17574403930987226,0.0,0.17574403930987226,17.574403930987227,0.38039871075564047,0.15985436313716128,0.07829771994747523,0.8176435478094783,0.06381759579801838,0.06976244478930405,0.052894831085114,0.2536112182609209,0.23496674198476417,0.09134032599101972,0.8108599849392831,0.06434395920326377,0.05681441407801181,0.08039818931397306,25.649999999999995,71497.94444444444
1426,Iowa,Jones,0,11127.602155,2754.2464271999997,2754.2464271999997,11668,2859.7215608,857.9239263,2647.2880996000004,595.5945837099999,1889.7791576999998,546.8649774200001,10929.277676,2703.9210651000003,34.578380175,7.000000065,43.157384263000004,8.292238191,103.92108853,28.999999333,3001,2785,1997,11450,38,52,110,0.9536854778025369,0.23605128789852586,0.23605128789852586,23.605128789852586,0.25719917723688723,0.23868700719917724,0.17115186835790194,0.9813164209804593,0.0032567706547823104,0.004456633527596846,0.009427494000685635,0.2678062266049315,0.23360596855005222,0.17552735290920743,0.9820881318775634,0.002995161630945455,0.0037062515233000945,0.00957517200075486,10.966666666666667,66648.33333333333
1427,Iowa,Jones,1,709.7453986999999,0.0,709.7453986999999,8970,172.29229591,0.0,173.43335586,0.0,106.89307193,0.0,702.4943575,0.0,3.9516009509999996,0.0,1.0775159710000002,0.0,2.602821305,0.0,2214,1841,1559,8451,370,38,160,0.0791243476811594,0.0,0.0791243476811594,7.912434768115941,0.2468227424749164,0.2052396878483835,0.1738015607580825,0.9421404682274247,0.04124860646599777,0.00423634336677815,0.017837235228539576,0.24275225485868307,0.24435995806054955,0.15060762933551938,0.9897836023829373,0.005567631658109967,0.0015181725347901158,0.00366726055535892,9.75,60914.0
1428,Iowa,Keokuk,0,8406.5079935,2671.36829934,2671.36829934,10511,2903.4660078999996,882.62216846,1966.2991407,623.532698989,1496.0729015000002,481.788931056,8273.3405606,2636.7721147400002,34.480764576,9.228391511,11.982949397,4.999999983,80.657580381,30.896786206,3409,2442,2021,10339,50,18,90,0.7997819421082675,0.25414977636190655,0.25414977636190655,25.414977636190656,0.3243268956331462,0.23232803729426316,0.19227475977547331,0.9836361906574065,0.0047569213205213585,0.0017124916753876891,0.008562458376938446,0.3417702162649239,0.23378414519422777,0.1785416067368759,0.984855976627178,0.003945625942334333,0.0015330510046385557,0.010070013749756468,12.975,57448.0
1429,Iowa,Kossuth,0,9383.390296000001,5485.3230476,5485.3230476,9419,2707.8665017999997,1619.39448381,2208.2212257,1236.24930249,1946.9898379,1293.03452577,9228.390294,5383.5942124,14.00000015,10.000000192,14.999999980000002,6.000000012,133.00000108,86.00000091099999,2588,2215,1954,9264,14,15,133,0.9962193753052343,0.5823678785009024,0.5823678785009024,58.236787850090245,0.27476377534770147,0.23516296846799023,0.20745302049049794,0.9835439006263934,0.001486357362777365,0.001592525745832891,0.014120394946384967,0.29103130079998485,0.23165895048159074,0.21790885928032347,0.9827336211770802,0.0016141275836977795,0.0014123616150713617,0.014728914125260544,7.925,66951.25
1430,Iowa,Kossuth,1,2921.7756579999996,0.0,2921.7756579999996,6124,722.6066711,0.0,607.8447696999999,0.0,730.3793192,0.0,2827.133906,0.0,10.462063834,0.0,24.23489007,0.0,47.784438879999996,0.0,1477,1340,1445,5959,30,44,82,0.47710249150881767,0.0,0.47710249150881767,47.710249150881765,0.24118223383409537,0.21881123448726322,0.2359568909209667,0.9730568256041803,0.004898758981058132,0.007184846505551927,0.013389941214892228,0.2473176436806361,0.20803950776839555,0.2499778917659804,0.9676081386533341,0.0035807211294112307,0.008294575938314563,0.016354588604078242,10.05,65291.5
1431,Iowa,Lee,0,12482.4314722,3651.1337224599997,3651.1337224599997,15239,3342.6937952800004,804.9188541139999,2679.185627,824.848629783,2192.71784471,623.7086502089999,12260.596253200001,3609.1238857599997,47.988998225,1.0,29.988981139000003,6.009833446,123.440964511,18.768452886000002,3873,3333,2688,14857,98,37,268,0.8191109306516176,0.23959142479559023,0.23959142479559023,23.959142479559024,0.25415053481199557,0.2187151387886344,0.17638952687184198,0.9749327383686593,0.006430868167202572,0.002427980838637706,0.017586455804186628,0.25707973404209544,0.21718908465084888,0.17456938134487476,0.9836462026516416,0.0030364645156803114,0.002231299415265954,0.008814506631433794,10.02,66343.2
1432,Iowa,Lee,1,5653.987389,0.0,5653.987389,20623,2611.1371957300003,0.0,1053.5738006899999,0.0,901.1465811400001,0.0,4973.0978561,0.0,475.55021975,0.0,30.797059615000002,0.0,174.13910072,0.0,8863,4628,3390,18680,1020,146,824,0.2741593070358338,0.0,0.2741593070358338,27.41593070358338,0.42976288609804586,0.22440963972263978,0.16437957620132862,0.9057848033748727,0.04945934151190418,0.00707947437327256,0.039955389613538284,0.46182225323141773,0.1863417316316904,0.15938248870048904,0.8795735671033348,0.08410882215181396,0.005446962912389333,0.030799343673597993,23.599999999999998,42994.166666666664
